Promedio Temperatura,Promedio Humedad,Promedio CO2,Promedio TVCO,Suma de Pesos,Nivel de Alerta General
28.076452525415448,63.244314961717066,959,50,0.4243316993339234,Alto
20.255380748226205,37.35035300456995,2718,1082,0.6786530977299379,Muy Alto
24.660291651637948,68.33496422766214,1197,2251,0.6655172766809194,Muy Alto
25.37845382341041,41.68981920774509,1830,995,0.4960089065950002,Alto
26.894917814443488,62.97987198117475,455,1890,0.513727968486438,Alto
32.221030148758864,48.63264906330251,2352,413,0.3403194117560905,Medio
24.649601267408396,55.94612368199246,825,1233,0.5345963805123493,Alto
34.07348863874161,57.65211002031671,870,1557,0.29502011404436346,Medio
22.285525782815476,43.27772457334187,1074,1385,0.5631575083377035,Alto
29.60682494857094,47.80286707752334,2001,445,0.39008531093553894,Alto
23.16653098393828,41.297066069400216,1852,355,0.5272118296228274,Alto
20.789663020183717,46.24039360719544,472,672,0.5483442909165906,Alto
27.170487565730923,43.6272938584775,2696,2422,0.576498492827656,Alto
23.726302976577244,41.188164801559445,421,155,0.4132222382246708,Alto
20.867701799546776,50.97673881636987,637,1139,0.601445146186576,Alto
33.835608569195664,84.81274738211377,1605,1752,0.48669855634011466,Alto
26.470530015640065,72.71216019601326,1784,479,0.5864822816214337,Alto
21.952443291836982,43.934483109696146,804,419,0.5127312467950357,Alto
27.991305340109804,56.968700204615345,2771,768,0.5425845966279221,Alto
28.220584430450455,78.19628902474642,2640,1393,0.659941721952218,Muy Alto
27.490455896768207,72.66490040222016,2332,222,0.5788446043024503,Alto
35.29213066713517,62.388777894186155,780,1261,0.26360094220465713,Medio
32.57661471790169,67.4601742077721,523,858,0.3294576514022538,Medio
35.295001432112485,56.48559861204994,2846,2416,0.41776308629538766,Alto
32.04350767363799,44.076348173942705,2337,298,0.317018489861617,Medio
24.270440980420325,62.459388779142415,434,727,0.5282162167379703,Alto
32.42246900708889,74.69973069987405,2811,179,0.4767678720461163,Alto
30.158190294900436,72.46341775020039,585,154,0.39178152990603554,Alto
32.26074307320273,71.93828192543761,2665,1428,0.5190466818539329,Alto
22.892060137017516,40.82591486502426,1861,2272,0.6252699150851966,Muy Alto
21.545244796889886,78.33078418350856,1387,1338,0.7693197842953527,Muy Alto
33.93292219370311,73.37445744288499,458,261,0.2868944704375792,Medio
22.445441510456085,54.94428005467846,625,2246,0.6283389378133798,Muy Alto
32.078203125635945,62.05441006059018,800,1650,0.3726449352412025,Medio
29.658192371081505,40.557768383304044,2656,383,0.39119015522832734,Alto
31.82110164824834,39.46427962549373,1675,1715,0.32843779883101404,Medio
